ID;Straßenname;Schlüssel;Stadtteil;Suchgitter;Beginn_der_Straße;Ende_der_Straße;Umbenannt_in;Erloschen_am;Historisches;Bemerkungen;Beschlussdatum;Gremium;Quelle;Vormals;Erloschen;Beschlussdatum_bis
2566;Otto-Meißner-Weg;8448;Käfertal;H / I, 64;Hans-Kampffmeyer-Weg;Lina-Kehl-Weg;;;"Taufbezirk Gründer der Gartenstadtbewegung.
Otto Meißner (geb. 19.08.1857 in Leipzig, gest. 16.08.1937 in Mannheim) war seit 1906 mit seiner Frau und 2 Töchtern in Mannheim wohnhaft. Er war einer der ersten Mitglieder der Gartenstadtgenossenschaft und von 1910 bis 1914 und 1919 bis 1931 im Aufsichtsrat tätig. Von 1914 bis 1919 war er im Vorstand";Auf dem Gelände der ehemaligen Stadtgärtnerei;01-01-12;Gemeinderat;Ôffentliche Bekanntmachung im Amtsblatt vom 21.03.2013;;;
662;Hirschhorner Straße;6571;Feudenheim;N,66;Eberbacher Straße;Plugstraße;;;"Taufbezirk nach Orten am Neckar.
Hirschhorn, Stadt im Kreis Bergstraße, Hessen, im südlichen Odenwald am Neckar. Burg mit Pallas über Hirschhorn um 1200 errichtet. Das Stadtrecht erhielt die Stadt 1391. Bis 1632 unterstand der Ort den Herren von Hirschhorn, von 1632-1803 dem Kurfürstentum Mainz. 1803 fiel Hirschhorn an Hessen-Darmstadt.";Bereits im Stadtplan von 1955 nachweisbar. Nicht im Adressbuch von 1929.;;;Straßennamenkartei des FB 62/ Stadtplan 1955, Stadtarchiv/ Adressbuch 1929, Stadtarchiv;;Nein;
1653;Weißbuchenweg;1134;Neckarstadt;L,63;Roteichenring;Roteichenring;;;Taufbezirk nach Bäumen;;01-01-15;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-15
663;Hirschländerweg;5989;Straßenheim;J,69;Straßenheimer Weg;Rindlach;;;Gewann;;01-01-14;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchivs (erstellt 1927 aus 1921);;Nein;01-01-14
1665;Werner-Heisenberg-Straße;;Friesenheimer Insel;;Otto Hahn Straße;Otto Hahn Straße;;;"Taufbezirk nach Wissenschaftlern auf dem Gebiet der Atomphysik.
Werner Heisenberg (1901-1976), Physiker. Gemeinsam mit M. Born und P. Jordan begründete Heisenberg die Quantenmechanik in der Matrizenform und stellte 1927 die für sie grundlegende Unschärferelation (heisenbergsche Unschärferelation) auf. Weitere Arbeiten Heisenbergs förderten die Quanten- und Wellenmechanik, die Atom- und Kernphysik, die Physik der kosmischen Strahlung und der Elementarteilchen, die Theorie der Supraleitung und des Ferromagnetismus. Seit etwa 1953 arbeitete Heisenberg an einer einheitlichen Feldtheorie der Materie ""Heisenbergsche Weltformel"". 1932 erhielt Heisenberg den Nobelpreis für Physik.";;01-01-21;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-21
665;Hochdorfer Straße;7705;Neckarau;S,64;Mundenheimer Straße;Rheingönnheimer Straße;;;"Taufbezirk nach Orten in der Pfalz.
Hochdorf, Gemeinde im Rhein-Pfalz-Kreis (bis 2003 Landkreis Ludwigshafen), Rheinland-Pfalz. Hochdorf gehörte von 1487-1797 zum Hochstift Speyer und fiel 1815 an Pfalz-Bayern. Hochdorf gehört zur Verbandsgemeinde Dannstadt-Schauernheim, die sich aus den Ortsgemeinden Dannstadt-Schauernheim, Hochdorf-Assenheim und Rödersheim-Gronau zusammensetzt.";;01-01-16;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-16
1669;Werthmannweg;3505;Waldhof;H,62;Glücksburger Weg;Ketteler Weg;;;Lorenz Wethmann (1858-1921), katholischer Theologe. Der Priester Wertheim gründete 1897 den Caritasverband für das katholische Deutschland und war dessen Präsident. Die Caritas fungiert als Dachorganisation aller caritativen Dienste und Einrichtungen innerhalb der katholischen Bistümer.;;01-01-25;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-25
667;Hochstättstraße;4645;Hochstätt;R,66;Rohrlachstraße;Karolingerstraße;;;"Hochstätt gehört zum Stadtteil Seckenheim, der am 01.10.1930 nach Mannheim eingemeindet wurde. Die frühere Straße ""Höchstätt"" war eine Landstraße, die nach Seckenheim führte. Die Hochstättstraße ist heute eine Ortsstraße.";;01-01-21;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchivs (erstellt 1927 aus 1921);Hochstätt;Nein;01-01-21
1670;Wespinstraße;1731;Oststadt;O,62;Otto Beck Straße;Weberstraße;;;"Fräulein Katharina Dorothea Wespin (1810-1887), Gründerin der Wespinstiftung.
 Die Tochter des Kartenfabrikanten Philipp Wespin vermachte ihr gesamtes Vermögen ihrer Geburtsstadt Mannheim zum Bau eines Waisenhauses für Jungen. In der Seckenheimer Straße 39 wurde am 29. Juni 1893 das Waisenhaus eingeweiht. Das im Zweiten Weltkrieg zerstörte Haus wurde 1952 wiederaufgebaut und das Heim später auf die Vogelstang verlegt.";Auf dem Stadtplan von 1907 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
689;Holzstraße;341;Jungbusch;M,61;Luisenring;Nachenüberfahrt;;;Erinnert an die großen Holzlagerplätze, die sich hier bis Ende des 19. Jahrhunderts befanden.;Im Adressbuch 1900 nachweisbar.;01-01-25;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchivs (erstellt 1927 aus 1921)/ Adressbuch 1900, Stadtarchiv.;;Nein;01-01-25
1673;Weylstraße;1211;Wohlgelegen;M,63;Soironstraße;Eisenlohrstraße;;;"Dr. Carl Weyl (1848-1912), Kommerzienrat, Fabrikant und Chemiker. 
Weyl gehört zu den bedeutensten Großindustriellen Mannheims. 1877 gründete er die Kommandit-Gesellschaft C. Weyl auf dem Lindenhof. 1902 wurde die Farbrik  in die Aktiengesellschaft unter dem Namen ""Chemische Fabrik Lindenhof C. Weyl & Co "" umgewandelt.  Karl Weyl hatte verschiedene Ämter inne u.a. war er Vizepräsident der Handelskammer, Vorsitzender der Fabrikantenvereins, Hadnelsrichter am Landgericht, Mitglied des Bezirkseisenbahnrates Frankfurt und Aufsichtsrat in mehreren Unternehmen. Darüber hinaus setzte er sich für verschiedene wohltätige Projekte ein. Seine Stiftung über 100 000 Reichsmark unterstützte die Ausbildungsförderung für gewerbetechnische Berufe.  Die Chemische Fabrik Weyl AG auf dem Waldhof ging 1997 in die Rütgers Organics AG, einem Tochterunternehmen der RAG AG auf.";;01-01-17;Stadtrat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);Julius-Jolly-Straße;Nein;01-01-17
695;Hubenstraße;3181;Waldhof;J,62;Jakob Faulhaber Straße;Altrheinstraße;;;"Gewannnbezeichnung. 
Huben, Hufen ist ein Ackermaß.";Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchivs (erstellt 1927 aus 1921)/ Adressbuch 1929, Stadtarchiv;;Nein;
1685;Wilhelm-Leuschner-Straße;6771;Neckarau;Q,61;Carl Goerdeler Straße;Carl Goerdeler Straße;;;"Wilhelm Leuschner (1890-1944), Gewerkschaftsführer und SPD-Politiker. 
Der Bildhauer Leuschner war von 1924-1933 Mitglied des hessischen Landtages, von  1928-1932 hessischer Innenminister und ab 1932 Vorstandsmitglied des ADGB. 1933-1934 war Leuschner in den Konzentrationslagern Börgermoor und Lichtenberg inhaftiert. Danach versuchte er den  Widerstand  der gewerkschaftlichen Gruppen zu organisieren und stand in Kontakt zur Widerstandsgrupppe des Kreisauer Kreises. Nach den Übergangsplänen des Kreisauer Kreises war Leuschner als Vizekanzler vorgesehen. Nach dem Anschlag auf Hitler am  20.7. 1944 wurde Leuschner verhaftet  und am 29.9.44 hingerichtet.";;01-01-29;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-29
703;I 1 - I 7;;Innenstadt;M/N,61;;;;;;;;;;;Nein;
1696;Windeckstraße;2035;Lindenhof;O/P,61/62;Rheinaustraße;Neckarauer Straße;;;Dieser Name hat keine Beziehung zur Burg Windeck bei Weinheim, sondern bedeutet äusserste Ecke (Wind - Eck) des Lindenhofs.;Auf dem Stadtplan von 1907 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
708;Iggelheimer Straße;7931;Rheinau;U,66;Relaisstraße;Maxdorfer Straße;;;"Taufbezirk nach benachbarten Orten in der Pfalz.
Böhl-Iggelheim, Gemeinde bei Ludwigshafen, Rhein-Pfalz-Kreis, Rheinland-Pfalz.
991 erstmals als Ugelenheim urkundlich genannt. Im Zuge der Verwaltungsreform von 1969 wurden Iggelheim und Böhl zu einer Gemeinde vereinigt.";Auf dem Stadtplan von 1955 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei des FB 62/ Stadtplan 1955, Stadtarchiv/ Adressbuch 1929, Stadtarchiv;;Nein;
1706;Wismarer Weg;5941;Vogelstang;L,66;Mecklenburger Straße;Wendeplatte;;;"Taufbezirk nach Städten der ehemaligen DDR.
Die Hansestadt Wismar ist kreisfreie Stadt in Mecklenburg-Vorpommern, an der Spitze der Wismarer Bucht der Ostsee. 1229 als Stadt mit lübischem Recht erwähnt.1257-1358 Residenz der Fürsten von Mecklenburg. Wismar gehörte zu den mächtigsten Hansestädten und war Sitz des wendischen Hansequartiers. Die Stadt kam 1648 als Reichslehen an die schwedische Krone und wurde zu einer starken Festung ausgebaut (bis 1803, endgültiger Verzicht Schwedens 1903).";;01-01-19;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-19
710;Illerstraße;7517;Neckarau;R,63;Brückeswasen;Straße endet als Sackgasse;;;"Taufbezirk nach Flüssen.
Iller, rechter Nebenfluss der Donau in Oberschwaben, entspringt aus mehreren Quellbächen bei Oberstdorf und mündet nach 165 km oberhalb von Ulm. Iller ist eine alteuropäische Bildung von fließen, strömen.";;;Gemeinderat;Straßennamenkartei des FB 62/ Geographische Namen in Deutschland/;;Nein;
1709;Wörthfelder Weg;4505;Seckenheim;Q,68;Seckenheimer Hauptstraße;Gemarkungsgrenze;;;Gewann;Die Straße führt parallel an der Gemarkungsgrenze Richtung Neckarhausen entlang. Auf dem Stadtplan von 1955 nachweisbar, nicht im Adressbuch von 1941/42.;;;Straßennamenkartei FB 62;;Nein;
714;Im Hummelhorst;7735;Rheinau;S,65;Casterfeldstraße;Beim Johannkirchhof;;;;Im Stadtplan von 1955 nachweisbar, nicht im Adressbuch von 1929.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Stadtplan 1955, Stadtarchiv/ Adressbuch 1929, Stadtarchiv;;Nein;
1711;Wolfacher Straße;4383;Seckenheim;Q,68;Offenburger Straße;südl. Hausacher Straße;;;"Taufbezirk nach Ortschaften im Schwarzwald.
Wolfach, Stadt im Ortenaukreis, Baden-Württemberg, im Kinzigtal des mittleren Schwarzwalds.";Im Gemeinderatsbeschluss am 27.04.1993 wurde die Verlängerung der Straße beschlossen.;;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
718;Im Morchhof;7521;Neckarau;Q,64;Mallaustraße;Straße endet als Sackgasse;;;Gewann;Neubenennung durch Änderung der Straßenführung am 30.3.1982.;01-01-30;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-30
1728;Zellerstraße;1251;Wohlgelegen;M,63;Kußmaulstraße;Eisenlohrstraße;;;"Philipp Jakob Zeller (1824-1862) Mannheimer Dialektdichter. 
Genannt wurde der Mundartdichter ""de Vetter aus der Palz"". Nach dem Vorbild von Johann Peter Hebel und Karl Gottfried trug Zeller seine pfälzischen Mundartgedichte im Mannheimer Sängerbund oder beim Stammtisch des Mannheimer Altertumsvereins im ""Silbernen Anker"" vor. Seine Mundartgedichte wurden unter dem Titel ""D'r Vetter aus der Palz"" veröffentlicht. Zeller widmete sich der Altertumswissenschaft und sammelte zufällige Ausgrabungsfunde. Aus dieser Leidenschaft heraus entwickelte sich 1859 der Mannheimer Altertumsverein (Gesellschaft der Freunde Mannheims und der Kurpfalz).";Auf dem Stadtplan von 1907 nachweisbar.;;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;
721;Im Rott;8312;Käfertal;L,65;Koblenzer Straße;Straße endet als Sackgasse;;;Gewann;Gemeinderatsbeschlüsse 26.10.1993 und 09.05.1994;01-01-26;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-26
1730;Zeltinger Straße;5465;Käfertal;L,65;Trierer Straße;Bad Kreuznacher Straße;;;Zeltingen-Rachtig, Gemeinde im Landkreis Bernkastel-Wittlich, Rheinland-Pfalz, an der Mosel. Zeltingen wurde 1086 erstmals erwähnt. Die Doppelgemeinde ist ein bedeutender Weinort für Rieslingweine.;;01-01-16;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-16
744;Jahnstraße;6274;Feudenheim;N,65;Andreas Hofer Straße;Am Schelmenbuckel;;;"Friedrich Ludwig Jahn (1778-1852), ""Turnvater"" und Gymnasiallehrer, Vorkämpfer einer nationalen Erziehung.
Nach Jahns Idee sollte das Turnen die moralische und physische Kraft des Volkes gegen die Napoleonische Herrschaft stärken. Jahn wurde 1848 in die Nationalversammlung gewählt und schrieb das Werk ""Die deutsche Turnkunst"" (1816).";Im Adressbuch von 1929 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Adressbuch von 1929, Stadtarchiv.;;Nein;
1735;Zielstraße;1151;Neckarstadt;L,63;Ulmenweg;Käfertaler Straße;;;;Längs der Notgüterhalle beim alten Exerzierplatz.;01-01-16;;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-16
757;Johannesmühler Straße;2251;Sandhofen;G,60;Krappitzer Straße;Altdammer Straße;;;"Taufbezirk nach Tochterwerken der Zellstofffabrik.
Benannt nach einem ehemaligen Tochterwerk der Zellstofffabrik Waldhof in Johannesmühle an der Oder, das 1945 mit der sowjetischen Besatzung aufgegeben werden mußte.";Privatweg auf dem Gelände der Zellstofffabrik.;01-01-16;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-16
1740;Zur Waldau;4631;Suebenheim;R,68;Heckweg;Waldspitze;;;;Im Adressbuch von 1957 nachweisbar, nicht im Adressbuch von 1941/42.;;;Straßennamenkartei FB 62/ Adressbuch 1941/42, Stadtarchiv.;;Nein;
791;Karl-Imhoff-Straße;2707;Scharhof;E,59;Frankenthaler Straße;Klärwerk;;;"Anlehnung an das nahegelegene Klärwerk.
Karl Imhoff (1876-1965), Ingenieur. Der Mannheimer Abwasserspezialist Imhoff entwickelte den ""Emscherbrunnes"" (Imhoff-Tank) zur Abwasserreinigung.
 Er ist Träger des großen Bundesverdienstkreuzes und Autor des Werkes ""Taschenbuch der Stadtentwässerung"".";;01-01-28;Gemeinderat;Straßennamenkartei des Fachbereich für Geodäsie und Vermessung/ Straßenbenennung Band 1, Fachbereich für Geodäsie und Vermessung/ Stadtplan 1955, Stadtarchiv.;Großgehrenstraße;Nein;01-01-28
1741;Zwerchgasse;2671;Sandhofen;F/G,59;Dorfstraße;Groß Gerauer Straße;;;Umbennung der alten Bezeichnung Querstraße, zwerch = quer;"Im Zuge der Eingemeindung von Sandhofen am 1.1.1913 in Zwerchgasse  umbenannt.
Verlängerung durch Gemeinderatsbeschluss vom 9. 6. 1978.";;Stadtrat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921) Sandhofen- Serie, 1990;Querstraße;Nein;
796;Karl-Mathy-Straße;1186;Wohlgelegen;M,63;Friedrich Ebert Straße;Zellerstraße;;;"Karl Mathy (1807-1868), Politiker und Journalist.  
Als gemäßigter liberaler Politiker war er Mitglied des Mannheimer Gemeinderats, des badischen Landtags (1840-1857), badischer Finanzminister (1849), badischer Handelsminister (1864-1866) und  badischer Ministerpräsident (1866-1868). Mathy war ein gefragter Wirtschaftsfachmann. Er führte die Angleichung der badischen Institutionen, besonders des Militärs, an den neuen Bündnispartner Preußen durch. Weiter gehörte er zu den Mitbegründern der Deutschen Zeitung (1847) und war als Journalist an verschiedenen oppositionellen Zeitungen (u.a. Ausburger Allgemeinen) tätig.";Im Stadtplan von 1919 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives, erstellt 1927 aus 1921/ Stadtplan 1919, Stadtarchiv.;;Nein;
1745;Anna Reiß Weg [Waldweg];;Lindenhof;R,60;Carl Reiß Weg;Kaiserwörthweg;;;"Anna Reiß (1836 - 1915), Patrizierin.
Zusammen mit ihrem Bruder Carl Reiß (1843-1914) vermachte sie ihr gesamtes Barvermögen der Stadt Mannheim, das zum Bau des Reißmuseums (heute Reiss-Engelhorn Museum) diente. Nach ihrer testamentarischen Verfügung sollten hier Gegenstände aus Kunst, Geschichte und Gewerbe sowie aus den Naturwissenschaften und Sammlungen der Ôffentlichkeit zugänglich gemacht werden. 
1913 erhielt  Anna Reiß die Ehrenbürgerschaft der Stadt Mannheim.";;;;Straßennamenkartei FB 62;;Nein;
811;Kattowitzer Zeile;2891;Schönau;G,61/62;Stettiner Straße;Lilienthalstraße;;;Kattowitz (polnisch Katowice), Hauptstadt der Wojwodschaft Schlesien, Polen, am westlichen Rand der Oberschlesischen Platte. Das um 1598 gegründete Kattowitz erhielt erst 1865 Stadtrecht. Obwohl es 1921 für den Verbleib im Deutschen Reich gestimmt hatte, fiel es 1922 aufgrund eines Völkerbundgutachtens an Polen. Kattowitz ist Mittelpunkt des Oberschlesischen Industriegebiets.;Auf dem Stadtplan von 1940 nachweisbar, nicht  im Adressbuch von 1929.;;;Straßennamenkartei des FB 62/ Stadtplan 1940, Stadtarchiv/ Adressbuch 1929, Stadtarchiv.;;Nein;
1761;Duisburger Straße;;Rheinau;S/T,64;Altriper Straße;Ruhrorter Straße;;;"Taufbezirk nach  niederrheinischen Industrie- und Handelsplätze. Die Städte erinnern an die regen Handelsverbindungen mit Mannheim.
Duisburg, kreisfreie Stadt im Regierungsbezirk Düsseldorf, Nordrhein-Westfalen,  an der Ruhrmündung. Die Altstadt Duisburgs entstand aus einer fränkischen Königspfalz (""dispargum""). Duisburg wurde 1129 zur Reichsstadt erhoben und kam 1290 an das Herzogtum Kleve. Mit diesem ging es 1614 in den Bestitz Brandenburgs über.";frühere Privatstraße. Die Straße ist nicht auf dem Stadtplan von 2001 eingezeichnet.;;;Straßennamenkartei FB 62;;Ja;
813;Keilerweg;4789;Friedrichsfeld;U,68/69;Entenstrich;Straße endet am Grenzhöfer Wald;;;Taufbezirk nach Wildtieren;Weg Nr. 16;01-01-18;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921).;;Nein;01-01-18
1773;Grasweg [Waldweg];;Käfertaler Wald;F/G/H,65;Lange Allee [Waldweg];Grenzschneise [Waldweg];;;;Waldweg, nicht im Stadtplan eingezeichnet. Siehe Karte des Käfertaler Waldes;;;Straßennamenkartei FB 62;;Nein;
828;Kirchpfad;5491;Waldhof;J,64;Sonnenschein;Planetenweg;;;Der Kirchpfad führt zur Auferstehungskirche;;01-01-06;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-06
1784;Jungbuschbrücke;;Jungbusch;M,60/61;Freherstraße;Ludwig Jolly Straße;;;"Am 06.04.1933 durch die NS-Kommissare in Hindenburgbrücke umbenannt; die Umbenennung wurde im Vollzug einer Weisung der US-Militärregierung vom Stadtrat am 19.12.1946 revidiert. Die am Ende des Zweiten Weltkrieges gesprengte Brücke wurde erst 1957 wieder in Betrieb genommen; es handelte sich um einen völligen Neubau.";;01-01-23;Stadtrat;Straßennamenkartei des FB 62/ Straßenbenennung Band 1,  Fachbereich für Geodäsie und Vermessung.;Hindenburgbrücke;Nein;01-01-19
850;Königsberger Allee;2985;Schönau;F/G,61;Steinweg;Viernheimer Weg;;;"Taufbezirk mit ehemals deutschen Siedlungen.
Königsberg (russisch Kaliningrad), seit 1946 Hauptstadt des Gebiets Kaliningrads, Russland, einer Exklave zwischen Polen und Litauen. Die Burg Königsberg wurde 1255 vom Deutschen Orden erbaut und zu Ehren König Ottokars II. von Böhmen benannt. Im Schutz der Burg entstanden die drei Städte Altstadt Königsberg, Löbenicht und Kneiphof (alle Culmisches Stadtrecht und seit 1340 Mitglied der Hanse), die 1724 zu einer Stadtgemeinde vereinigt wurden. Nach dem Verlust der Marienburg 1457 war Königsberg Sitz des Hochmeisters. Bis 1945 war sie Hauptstadt der Provinz Ostpreußen und kam  1945 zur UdSSR.";;01-01-08;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-08
1815;Parchimer Weg;;Vogelstang;;Rostocker Straße;;;;;;;;;;Ja;
852;Königsseestraße;8175;Rheinau;V,66;Chiemseestraße;Am Rheinauer See;;;"Taufbezirk mit Seen
Königssee, See in Oberbayern, Kreis Berchtesgadener Land.";;01-01-30;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921).;;Nein;01-01-30
1855;Bösfeld, Weg IV;4227;Seckenheim;Q,65/66;[Bundesstraße / keine Durchfahrt];[Feldweg / Ortsrand];;;Gewann-Name;;01-01-18;Gemeinderat;Straßennamenkartei FB 62 / Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921);;Nein;01-01-18
860;Kometenweg;5525;Käfertal;J,64;Waldstraße;Lampertheimer Straße;;;Taufbezirk mit Planeten und anderen Himmelserscheinungen;;01-01-06;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-06
1861;Saturnweg;;Waldhof;I ,65;Merkurweg;Sackgasse;;;Taufbezirk nach astronomischen Bezeichnungen.;Nach einem Gemeinderatsbeschluss um den 31.5.2000.;;Gemeinderat;ZGS: S2/ 80-2;;Nein;
863;Konstanzer Straße;4511;Seckenheim;Q,68;Schwabenstraße;Meersburger Straße;;;"Taufbezirk mit Orten in Baden. 
Konstanz, große Kreisstadt und Landkreis im Regierungsbezirk Freiburg, in Baden-Württemberg, am Bodensee. 
In der keltischen Zeit besiedelt, war Konstanz um 300 römisches Kastell (Constantia), vor 600 (bis 1821) Bischofssitz und 1192-1548 Reichsstadt. 1414-1418 wurde hier mit dem Konstanzer Konzil das große abendländische Schisma beendet und Jan Hus als Ketzer verbrannt. 1806 fiel die Stadt an das Herzogtum Baden.";Im Stadtplan von 1940 nachweisbar.;;;Straßennamenkartei des FB 62/ Stadtplan 1940, Stadtarchiv.;;Nein;
1869;Gustav-Seitz-Straße;8352;Neuhermsheim;P, 64;Johannes-Hoffart-Straße;Getrud-Beinling-Weg;;;"Prof. Dr. Gustav Seitz (1906-1969), Bildhauer. 
Der aus Neckarau stammende Bildhauer war an der Preußischen Akadamie der Künste, der Berliner Hochschule  und an der Kunstschule in Hamburg tätig. Von ihm stammen die Skulpturen, ""Mutter und Braut"" auf dem Neckarauer Friedhof, die ""Flensburger Venus"" im Herzogenriedpark und die ""Junge, ruhende Sappho"" im Kulturhaus Käfertal. Zu seinen weiteren Werken gehört die ""Porta d∩amore"" im Trausaal des Standesamt Neckarau und sechs Figuren in der Kunsthalle.";Ringstraße;01-01-23;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-23
864;Konzstraße;8219;Industriehafen;K,61;Hansastraße;Straße endet als Sackgasse;;;"Otto Konz (1875-1965), Ingenieur.  
Konz war der Erbauer des Neckarkanals und Präsident der Wasser- und Schifffahrtsdirektion Stuttgarts. Von 1921-1968 wurde der Neckarkanal unter der Leitung von Konz trotz Protesten aus der Bevölkerung  zwischen Mannheim und Plochingen (202 km) erbaut.";;01-01-20;Gemeinderat;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921).;;Nein;01-01-20
1883;Coehornstraße;;Innenstadt;;J3;H5;;;"General Menno von Coehorn (1641-1704), holländischer Festungsbaumeister.
Nach seinen Plänen wurde Mannheim ab 1698 neu befestigt. Die schiefe Führung dieser Straße erklärt sich durch die alte Festungsanlage.";;;;Adressbuch 1929, Stadtarchiv;;-1;
891;L 1 - L 15;;Innenstadt;N/O,61;;;;;;;;;;;Nein;
1894;Binsenweg;;Wallstadt;M, 67;Rohrkolbenweg;Miltenberger Straße;;;Taufbezirk nach Sumpfpflanzen und- tieren.;Nicht auf dem Stadtplan von 1994 nachweisbar. Nachweisbar auf dem Stadtplan von 2001.;;;Adressbuch 2001;;Nein;
904;Landzungenstraße;271;Mühlauhafen;L/ M,60;Verbindugskanal Linkes Ufer;Neckarvorlandstraße;;;;Auf dem Stadtplan 1919 nachweisbar.;;;Straßennamenkartei des FB 62/ Straßennamenkartei des Stadtarchives (erstellt 1927 aus 1921)/ Stadtplan 1919, Stadtarchiv.;;Nein;
1905;Alte Seilerei;;Neckarau;R, 63;Angelstraße;Rhenaniastraße;;;Benannt nach der ehemaligen Seilerei der Firma Seilwolff, die sich auf diesem Gelände befand.;;01-01-15;Gemeinderat;Straßennamenkartei FB 62;;Nein;01-01-15
911;Lassalleplatz;7085;Almenhof;Q,62;Lassallestraße;Wingertstraße;;;"Taufbezirk mit Personen der Revolution von 1948/49.
Ferdinand Lassalle (1825-1864), Politiker und Publizist.  
Lassalle war Gründer und Präsident des Allgemeinen Deutschen Arbeitervereins (ADAV), der 1863 gegründet  wurde und aus dem die SPD hervorging. Das politsche Programm des Allgemeinen Deutschen Arbeitervereins ging vom ehernen Lohngesetz aus; danach forderten die Arbeiter eine Beteiligung an der Produktion und ein allgemeines und gleiches Wahlrecht ein. Im Gegensatz zu Marx vertrat Lasalle ein sozial und demokratisch ausgerichtetes Königreich. Nach seiner Rechtsphilosophie sei ein gleiches Recht für alle erst in einem künftigen demokratischen Staat mit seiner solidarischen Gesellschaft von Gleichen zu erreichen.";;01-01-19;Gemeinderat;Straßennamenkartei des FB 62/ Straßenbenennung Bd. 1, FB 62.;Tannenbergplatz;Nein;01-01-19
1907;Adolf-Hitler-Platz;;Oststadt;;Nietzschestraße;Richard-Wagner-Straße;Friedensplatz;01-01-21;"Adolf Hitler (*20. April 1889 in Braunau am Inn in Ôsterreich; +30. April 1945 in Berlin) war ab 1921 ""Führer"" der NSDAP, ab 1933 Reichskanzler und ab 1934 als ""Führer und Reichskanzler"" zugleich Regierungschef und Staatsoberhaupt des Deutschen Reiches. 
Er errichtete in Deutschland die nationalsozialistische Diktatur des ""Dritten Reiches"", ließ alle Oppositionsparteien verbieten und politische Gegner verfolgen. Er entfesselte den Zweiten Weltkrieg und betrieb die systematische Entrechtung und Ermordung von Millionen europäischer Juden und anderer Bevölkerungsgruppen im Holocaust.";Vermutlich um 1933 beschlossen.;;;Straßennamenkartei FB 62/Straßennamenkartei des Stadtarchives;;Ja;
924;Leipziger Straße;5786;Vogelstang;K,67;Sachsenstraße;Straße endet als Sackgasse;;;"Taufbezirk mit ostdeutschen Städten der ehemaligen DDR.
Leipzig, kreisfreie Stadt und Regierungsbezirk in Sachsen.
Leipzig erhält zwischen 1161 und 1170 Stadtrecht. Durch kaiserliche Privilegien (1497) entwickelte sich Leipzig zu einem bedeutenden Handelszentrum (Leipziger Messe).1830 und 1848 wurde Leipzig zum Zentrum der revolutionären bürgerlichen Bewegung. Die Völkerschlacht bei Leipzig war die Entscheidungsschlacht des Herbstfeldzugs 1813 während der Befreiungskriege gegen Napoleon.";;01-01-19;Gemeinderat;Straßennamenkartei des FB 62.;;Nein;01-01-19
